Ticker,Time,Sentiment,P/L %,Win
NVDA,04/08 17:26,POSITIVE,-0.1403605339204755,❌
NVDA,04/08 13:26,NEGATIVE,-0.44442035662023377,✅
NVDA,04/08 10:15,POSITIVE,0.1299123091912854,✅
NVDA,04/08 09:58,POSITIVE,0.016240796881767616,✅
NVDA,04/08 07:27,POSITIVE,0.0,❌
TSLA,04/08 17:26,POSITIVE,0.0742964283617968,✅
TSLA,04/08 15:59,NEGATIVE,0.7278357377476121,❌
TSLA,04/08 13:26,NEGATIVE,-2.1053643530090422,✅
TSLA,04/08 12:45,POSITIVE,0.31462162609704786,✅
TSLA,04/08 07:27,POSITIVE,0.0,❌
AAPL,04/08 16:25,POSITIVE,0.005815869569426499,✅
AAPL,04/08 15:23,POSITIVE,-0.5416728829325834,❌
AAPL,04/08 13:26,NEGATIVE,-0.9899083498074261,✅
AAPL,04/08 12:13,POSITIVE,-0.11186113789778997,❌
AAPL,04/08 11:11,POSITIVE,0.14648625727612483,✅
AAPL,04/07 21:51,POSITIVE,0.8954204500592087,✅
MSFT,04/08 17:26,POSITIVE,-0.5076544776711243,❌
MSFT,04/08 17:14,NEGATIVE,-0.36986156609953963,✅
MSFT,04/08 15:00,NEGATIVE,-0.2600042234188462,✅
MSFT,04/08 13:26,NEGATIVE,-0.8667135160459083,✅
MSFT,04/08 11:31,NEGATIVE,0.19322924113961937,❌
AMD,04/08 12:42,POSITIVE,0.0037068965517246867,✅
AMD,04/07 16:33,POSITIVE,0.6652902041752774,✅
AMD,04/07 02:44,NEGATIVE,0.0,❌
AMD,04/06 18:47,POSITIVE,-0.0476687701457385,❌
AMD,04/06 15:27,POSITIVE,-0.38722826086957346,❌
