Ticker,Sentiment,P/L %,Exit Reason,Win,Headline
NVDA,POSITIVE,0.044089720655008886,💰 RSI Overbought,✅,Deploy Cash And Reduce Hedges; Spec...
NVDA,NEGATIVE,-1.6259281339764782,Timed Out (2h),❌,Mag 7 Stocks Melt Up After Ceasefir...
NVDA,POSITIVE,0.054130128829703535,📉 Supertrend Flip,✅,SLB Lands Major Deal To Help Tap Su...
NVDA,POSITIVE,0.2436119532264988,💰 RSI Overbought,✅,Investigating NVIDIA's Standing In ...
NVDA,POSITIVE,0.021803117845847618,💰 RSI Overbought,✅,VC Firm Eclipse Raises $1.3 Billion...
NVDA,NEGATIVE,-0.852770090924488,Timed Out (2h),❌,Elizabeth Warren Sounds Alarm Over ...
TSLA,POSITIVE,-0.14870795576053109,📉 Supertrend Flip,❌,Deploy Cash And Reduce Hedges; Spec...
TSLA,NEGATIVE,0.2676930645791464,Timed Out (2h),✅,Tesla's Inventory Nightmare Could T...
TSLA,NEGATIVE,-4.7793006839344025,Timed Out (2h),❌,Mag 7 Stocks Melt Up After Ceasefir...
TSLA,POSITIVE,0.016559032952476203,💰 RSI Overbought,✅,Intel's TeraFab Win A Major Credibi...
TSLA,POSITIVE,0.15658050160702416,💰 RSI Overbought,✅,VC Firm Eclipse Raises $1.3 Billion...
AAPL,POSITIVE,-0.21479990711355634,📉 Supertrend Flip,❌,Deploy Cash And Reduce Hedges; Spec...
AAPL,POSITIVE,0.017447608708279497,💰 RSI Overbought,✅,Jim Cramer Says Apple Stock 'Goes H...
AAPL,POSITIVE,-0.5000000000000093,🚨 Stop Loss,❌,Strategy's New Product Grew Faster ...
AAPL,NEGATIVE,-0.6702476369178046,Timed Out (2h),❌,Mag 7 Stocks Melt Up After Ceasefir...
AAPL,POSITIVE,0.007714561234322781,💰 RSI Overbought,✅,Apple Kills Mini-LED Era: New 2026 ...
AAPL,POSITIVE,-0.007709803014547879,📉 Supertrend Flip,❌,Apple's Foldable iPhone Reportedly ...
AAPL,POSITIVE,0.9376233714962495,💰 RSI Overbought,✅,"Anthropic Teams With Apple, Microso..."
AAPL,NEGATIVE,2.227840101121826,Timed Out (2h),✅,Apple Vs. Epic: Tech Giant Seeks Su...
AAPL,POSITIVE,0.021854449367217064,💰 RSI Overbought,✅,Magnificent Seven Are Cracking – Go...
MSFT,POSITIVE,-0.4177573305835341,📉 Supertrend Flip,❌,Deploy Cash And Reduce Hedges; Spec...
MSFT,NEGATIVE,-1.579044700412125,Timed Out (2h),❌,'Microsoft's executive shake-up con...
MSFT,NEGATIVE,-0.11086474501107568,Timed Out (2h),❌,What's Going On With Microsoft Stoc...
MSFT,NEGATIVE,-1.7191119439889542,Timed Out (2h),❌,Mag 7 Stocks Melt Up After Ceasefir...
MSFT,NEGATIVE,-0.22641080916926265,Timed Out (2h),❌,Alphabet Sheds Its 'Black Hole' Lab...
MSFT,POSITIVE,0.04050950284303395,💰 RSI Overbought,✅,"Anthropic Teams With Apple, Microso..."
AMD,POSITIVE,-0.21551724137931033,📉 Supertrend Flip,❌,AMD's Stock Momentum Climbs As 'Age...
AMD,POSITIVE,0.18811654049094978,💰 RSI Overbought,✅,Broadcom TPU Deals Extend 'Multi-Ye...
AMD,POSITIVE,-0.2088346120670123,📉 Supertrend Flip,❌,Citigroup Maintains Neutral on Adva...
AMD,POSITIVE,-0.5000000000000061,🚨 Stop Loss,❌,AMD Gains Market Share As 'Agentic ...
